HW Results:

index (pixel, Gx, Gy, sqrt, atan, pixel_Integrale)
[20][19] (198,  -4,  29,  29,  69, 51)
[20][20] (117,   9,  28,  29,  51, 40)
[20][21] ( 94,   4,  55,  55,  61, 39)
[20][22] (  1,   3,  56,  56,  61,  6)
[20][23] ( 81,   1,  -4,   4, -53, 30)
[20][24] ( 49,   0,   0,   0,   0, 28)

[21][ 0] (135,   0,   0,   0,   0, 44)
[21][ 1] ( 92,  15, -27,  30, -43, 32)
[21][ 2] (248,   2, -23,  23, -60, 69)
[21][ 3] (132,  12, -16,  20, -37, 49)
[21][ 4] (192,  19, -29,  34, -39, 66)
[21][ 5] ( 54, -41, -24,  47,-106, 34)
[21][ 6] (104, -44, -12,  45,-118, 25)
[21][ 7] (  5,  18, -28,  33, -40,  7)
[21][ 8] (157,  71, -16,  72,  -9, 49)
[21][ 9] (204,  11,  -4,  11, -14, 55)
[21][10] (203,  15, -46,  48, -51, 70)
[21][11] (225,  21, -55,  58, -48, 80)
[21][12] (232, -23,  -6,  23,-118, 76)
[21][13] (225, -50,  18,  53, 113, 62)
[21][14] ( 42,  16,   1,  16,   2, 33)
[21][15] (182,  39,  -8,  39,  -8, 55)
[21][16] (229, -24,  -6,  24,-118, 71)
[21][17] (226, -41,   1,  41, 127, 65)
[21][18] (192, -35, -22,  41,-105, 59)
[21][19] ( 40, -23, -56,  60, -80, 34)
[21][20] ( 57,  53, -30,  60, -21, 20)
[21][21] (233,  58,  41,  71,  25, 63)
[21][22] (246, -11,  79,  79,  69, 69)
[21][23] (210, -64,  60,  87,  97, 75)
[21][24] ( 15,   0,   0,   0,   0, 22)

[22][ 0] (149,   0,   0,   0,   0, 48)
[22][ 1] (  8,  11, -23,  25, -45, 11)
[22][ 2] ( 75,   7, -27,  27, -53, 30)
[22][ 3] ( 20,  -3, -44,  44, -67,  7)
[22][ 4] (165,  40, -25,  47, -22, 47)
[22][ 5] (140, -10,  22,  24,  81, 38)
[22][ 6] (148, -63,  23,  67, 113, 44)
[22][ 7] (  6,  12,  14,  18,  34,  8)
[22][ 8] (113,  85,  10,  85,   4, 40)
[22][ 9] (197, -12, -10,  15,-100, 60)
[22][10] ( 55, -29, -34,  44, -93, 32)
[22][11] (126,  18, -72,  74, -53, 42)
[22][12] (185,  19, -81,  83, -54, 55)
[22][13] (159, -32, -45,  55, -90, 50)
[22][14] (148,  15, -11,  18, -25, 42)
[22][15] (229,  40,  -3,  40,  -3, 73)
[22][16] (123, -20,  -1,  20,-126, 53)
[22][17] ( 98, -34,   4,  34, 123, 36)
[22][18] ( 19, -67,   2,  67, 126, 12)
[22][19] ( 31, -26,   2,  26, 124,  4)
[22][20] ( 42,  82,   3,  82,   1,  8)
[22][21] (175,  81, -16,  82,  -8, 56)
[22][22] (247, -24, -44,  50, -85, 77)
[22][23] (147, -47, -20,  51,-112, 57)
[22][24] (155,   0,   0,   0,   0, 39)

[23][ 0] ( 55,   0,   0,   0,   0, 25)
[23][ 1] ( 75,  14,  24,  27,  41, 15)
[23][ 2] (178,  20,  44,  48,  46, 53)
[23][ 3] ( 73, -38,  37,  53,  96, 25)
[23][ 4] ( 34,  38, -19,  42, -18, 24)
[23][ 5] (234,  22, -36,  42, -41, 62)
[23][ 6] ( 83, -46,  11,  47, 118, 37)
[23][ 7] ( 53,  21,  46,  50,  46, 13)
[23][ 8] (196,  36,  10,  37,  11, 60)
[23][ 9] (158, -11, -19,  21, -86, 59)
[23][10] (177, -28,   7,  28, 117, 52)
[23][11] ( 51, -22,   5,  22, 118, 28)
[23][12] ( 37,  24, -21,  31, -29, 19)
[23][13] (142,  16,  -6,  17, -14, 39)
[23][14] ( 49,  19,  13,  23,  25, 20)
[23][15] (165,  22,  -8,  23, -14, 54)
[23][16] (235,  10,   1,  10,   4, 67)
[23][17] (230, -28,  32,  42,  93, 70)
[23][18] (211, -83,  23,  86, 116, 64)
[23][19] ( 20, -19,  15,  24, 100, 19)
[23][20] ( 95,  78,  16,  79,   8, 29)
[23][21] (202,  46,  -5,  46,  -4, 69)
[23][22] (147, -33, -21,  39,-105, 59)
[23][23] ( 94,  -1,  -8,   8, -70, 33)
[23][24] (190,   0,   0,   0,   0, 51)

[24][ 0] (192,   0,   0,   0,   0, 54)
[24][ 1] ( 52,   0,   0,   0,   0, 24)
[24][ 2] (139,   0,   0,   0,   0, 50)
[24][ 3] (204,   0,   0,   0,   0, 56)
[24][ 4] ( 33,   0,   0,   0,   0, 22)
[24][ 5] ( 72,   0,   0,   0,   0, 33)
[24][ 6] (131,   0,   0,   0,   0, 34)
[24][ 7] (202,   0,   0,   0,   0, 53)
[24][ 8] (109,   0,   0,   0,   0, 52)
[24][ 9] ( 93,   0,   0,   0,   0, 36)
[24][10] (120,   0,   0,   0,   0, 37)
[24][11] (160,   0,   0,   0,   0, 43)
[24][12] ( 95,   0,   0,   0,   0, 32)
[24][13] (137,   0,   0,   0,   0, 47)
[24][14] (241,   0,   0,   0,   0, 67)
[24][15] (174,   0,   0,   0,   0, 68)
[24][16] ( 76,   0,   0,   0,   0, 39)
[24][17] (255,   0,   0,   0,   0, 74)
[24][18] (  8,   0,   0,   0,   0, 19)
[24][19] ( 84,   0,   0,   0,   0, 14)
[24][20] ( 69,   0,   0,   0,   0, 23)
[24][21] (201,   0,   0,   0,   0, 66)
[24][22] (132,   0,   0,   0,   0, 47)
[24][23] (187,   0,   0,   0,   0, 52)
[24][24] (132,   0,   0,   0,   0, 50)

